connection,panel,receiver,entry_xyz_mm,direction_xyz,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
infill_main_upper_right_base_principal_center_right_2_1,main_upper_right,base_principal_center_right,"[70.0, 1113.0587853828972, 1600.9463997987987]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
infill_main_upper_right_base_principal_center_right_2_2,main_upper_right,base_principal_center_right,"[70.0, 1200.1350802417671, 1704.7198870266498]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
infill_main_upper_right_base_principal_center_right_3_1,main_upper_right,base_principal_center_right,"[70.0, 1351.7901036204778, 1885.4553059731873]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
infill_main_upper_right_base_principal_center_right_3_2,main_upper_right,base_principal_center_right,"[70.0, 1416.368832140319, 1962.417237691874]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_left_1,main_lower_left,base_rail_service_lower_left,"[-962.69, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_left_2,main_lower_left,base_rail_service_lower_left,"[-744.28, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_left_3,main_lower_left,base_rail_service_lower_left,"[-525.87, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_left_4,main_lower_left,base_rail_service_lower_left,"[-307.4599999999999, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_left_1,main_upper_left,base_rail_service_upper_left,"[-962.69, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_left_2,main_upper_left,base_rail_service_upper_left,"[-744.28, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_left_3,main_upper_left,base_rail_service_upper_left,"[-525.87, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_left_4,main_upper_left,base_rail_service_upper_left,"[-307.4599999999999, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_right_1,main_lower_right,base_rail_service_lower_right,"[307.46000000000004, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_right_2,main_lower_right,base_rail_service_lower_right,"[525.8700000000001, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_right_3,main_lower_right,base_rail_service_lower_right,"[744.2800000000001, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_lower_right_4,main_lower_right,base_rail_service_lower_right,"[962.6900000000002, 643.2346083361776, 1041.0317489157526]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_right_1,main_upper_right,base_rail_service_upper_right,"[307.46000000000004, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_right_2,main_upper_right,base_rail_service_upper_right,"[525.8700000000001, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_right_3,main_upper_right,base_rail_service_upper_right,"[744.2800000000001, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
horizontal_panel_upper_right_4,main_upper_right,base_rail_service_upper_right,"[962.6900000000002, 764.1429577182156, 1185.1247086664323]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
