connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
angle_right_cross_3_beam_1,bolt,rear_cross_3 + angle_right_cross_3,1179.2,1111.2437973441954,1827.630356214327,0.0,0.6427876096865427,0.7660444431189752,114.3,4.5,9.525,94.9,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_right_cross_3_wall_2,bolt,box_side_right + angle_right_cross_3,1259.3,1219.8425723464802,1940.0181605705081,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_right_cross_3_beam_2,bolt,rear_cross_3 + angle_right_cross_3,1144.2,1111.2437973441954,1827.630356214327,0.0,0.6427876096865427,0.7660444431189752,114.3,4.5,9.525,94.9,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_lower_left_bottom,screw,panel_edge_bottom + mid_lower_left,-537.2,-46.381946617558135,248.81528093888627,0.0,0.6427876096865427,0.7660444431189752,138.9,5.468503937007875,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_lower_left_top,screw,panel_seam_horizontal + mid_lower_left,-537.2,782.2034216488754,1236.2848703414052,-0.0,-0.6427876096865427,-0.7660444431189752,189.7,7.468503937007874,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_lower_right_bottom,screw,panel_edge_bottom + mid_lower_right,662.8,-46.381946617558135,248.81528093888627,0.0,0.6427876096865427,0.7660444431189752,138.9,5.468503937007875,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_lower_right_top,screw,panel_seam_horizontal + mid_lower_right,662.8,782.2034216488754,1236.2848703414052,-0.0,-0.6427876096865427,-0.7660444431189752,189.7,7.468503937007874,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_upper_left_bottom,screw,panel_seam_horizontal + mid_upper_left,-501.20000000000005,692.4059925756657,1129.2684616376837,0.0,0.6427876096865427,0.7660444431189752,189.7,7.468503937007874,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_upper_left_top,screw,panel_edge_top + mid_upper_left,-501.20000000000005,1520.991360842099,2116.738051040202,-0.0,-0.6427876096865427,-0.7660444431189752,138.9,5.468503937007875,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_upper_right_bottom,screw,panel_seam_horizontal + mid_upper_right,698.8,692.4059925756657,1129.2684616376837,0.0,0.6427876096865427,0.7660444431189752,189.7,7.468503937007874,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
mid_end_upper_right_top,screw,panel_edge_top + mid_upper_right,698.8,1520.991360842099,2116.738051040202,-0.0,-0.6427876096865427,-0.7660444431189752,138.9,5.468503937007875,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_1_seam_left_front,screw,panel_seam_vertical_lower + rib_1_seam_left,-54.0,244.6098721890703,565.9692875155183,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_left_rib_1,bolt,angle_rib_1_seam_left + rib_1_seam_left,-93.75,116.69196910830725,542.7644238783297,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_left_rib_2,bolt,angle_rib_1_seam_left + rib_1_seam_left,-93.75,206.68223446442278,650.0106459149866,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_left_beam_1,bolt,rear_cross_1 + angle_rib_1_seam_left,-123.75,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_left_beam_2,bolt,rear_cross_1 + angle_rib_1_seam_left,-151.75,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_1_seam_right_front,screw,panel_seam_vertical_lower + rib_1_seam_right,54.0,225.3262438984741,542.9879542219489,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_right_rib_1,bolt,angle_rib_1_seam_right + rib_1_seam_right,93.75,139.18953544733614,569.5759793874939,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_right_rib_2,bolt,angle_rib_1_seam_right + rib_1_seam_right,93.75,184.1846681253939,623.1990904058224,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_right_beam_1,bolt,rear_cross_1 + angle_rib_1_seam_right,123.75,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_seam_right_beam_2,bolt,rear_cross_1 + angle_rib_1_seam_right,151.75,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_1_mid_left_front,screw,mid_lower_left + rib_1_mid_left,-519.2,225.3262438984741,542.9879542219489,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_left_rib_1,bolt,angle_rib_1_mid_left + rib_1_mid_left,-558.95,139.18953544733614,569.5759793874939,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_left_rib_2,bolt,angle_rib_1_mid_left + rib_1_mid_left,-558.95,184.1846681253939,623.1990904058224,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_left_beam_1,bolt,rear_cross_1 + angle_rib_1_mid_left,-588.95,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_left_beam_2,bolt,rear_cross_1 + angle_rib_1_mid_left,-616.95,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_1_mid_right_front,screw,mid_lower_right + rib_1_mid_right,680.8,225.3262438984741,542.9879542219489,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_right_rib_1,bolt,angle_rib_1_mid_right + rib_1_mid_right,720.55,139.18953544733614,569.5759793874939,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_right_rib_2,bolt,angle_rib_1_mid_right + rib_1_mid_right,720.55,184.1846681253939,623.1990904058224,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_right_beam_1,bolt,rear_cross_1 + angle_rib_1_mid_right,750.55,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_1_mid_right_beam_2,bolt,rear_cross_1 + angle_rib_1_mid_right,778.55,96.51587078801793,651.0726907907406,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_2_seam_left_front,screw,panel_seam_horizontal + rib_2_seam_left,-54.0,751.8978537536871,1170.5315620250158,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_left_rib_1,bolt,angle_rib_2_seam_left + rib_2_seam_left,-93.75,643.2635789635202,1170.3080316813966,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_left_rib_2,bolt,angle_rib_2_seam_left + rib_2_seam_left,-93.75,733.2538443196357,1277.5542537180536,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_left_beam_1,bolt,rear_cross_2 + angle_rib_2_seam_left,-123.75,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_left_beam_2,bolt,rear_cross_2 + angle_rib_2_seam_left,-151.75,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_2_seam_right_front,screw,panel_seam_horizontal + rib_2_seam_right,54.0,751.8978537536871,1170.5315620250158,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
