connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
angle_rib_2_seam_right_rib_1,bolt,angle_rib_2_seam_right + rib_2_seam_right,75.05,689.6694517421264,1256.6879807243072,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_seam_right_rib_2,bolt,angle_rib_2_seam_right + rib_2_seam_right,75.05,716.4810072512906,1234.1904143852782,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_seam_right_beam_1,bolt,rear_cross_2 + angle_rib_2_seam_right,105.05,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_seam_right_beam_2,bolt,rear_cross_2 + angle_rib_2_seam_right,133.05,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_2_mid_left_front,screw,panel_seam_horizontal + rib_2_mid_left,-519.2,733.8998006824639,1149.0823176176843,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_left_rib_1,bolt,angle_rib_2_mid_left + rib_2_mid_left,-546.25,689.6694517421264,1256.6879807243072,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_left_rib_2,bolt,angle_rib_2_mid_left + rib_2_mid_left,-546.25,716.4810072512906,1234.1904143852782,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_left_beam_1,bolt,rear_cross_2 + angle_rib_2_mid_left,-576.25,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_left_beam_2,bolt,rear_cross_2 + angle_rib_2_mid_left,-604.25,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_2_mid_right_front,screw,panel_seam_horizontal + rib_2_mid_right,680.8,733.8998006824639,1149.0823176176843,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_right_rib_1,bolt,angle_rib_2_mid_right + rib_2_mid_right,707.8499999999999,689.6694517421264,1256.6879807243072,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_right_rib_2,bolt,angle_rib_2_mid_right + rib_2_mid_right,707.8499999999999,716.4810072512906,1234.1904143852782,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_right_beam_1,bolt,rear_cross_2 + angle_rib_2_mid_right,737.8499999999999,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_2_mid_right_beam_2,bolt,rear_cross_2 + angle_rib_2_mid_right,765.8499999999999,584.1724229327868,1311.2699091658835,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_3_seam_left_front,screw,panel_seam_vertical_upper + rib_3_seam_left,-48.0,1235.788366325714,1747.2098188049824,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_left_rib_1,bolt,angle_rib_3_seam_left + rib_3_seam_left,-75.05,1191.5580173853762,1854.815481911605,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_left_rib_2,bolt,angle_rib_3_seam_left + rib_3_seam_left,-75.05,1218.3695728945404,1832.317915572576,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_left_beam_1,bolt,rear_cross_3 + angle_rib_3_seam_left,-105.05,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_left_beam_2,bolt,rear_cross_3 + angle_rib_3_seam_left,-133.05,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_3_seam_right_front,screw,panel_seam_vertical_upper + rib_3_seam_right,48.0,1235.788366325714,1747.2098188049824,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_right_rib_1,bolt,angle_rib_3_seam_right + rib_3_seam_right,75.05,1191.5580173853762,1854.815481911605,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_right_rib_2,bolt,angle_rib_3_seam_right + rib_3_seam_right,75.05,1218.3695728945404,1832.317915572576,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_right_beam_1,bolt,rear_cross_3 + angle_rib_3_seam_right,105.05,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_seam_right_beam_2,bolt,rear_cross_3 + angle_rib_3_seam_right,133.05,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_3_mid_left_front,screw,mid_upper_left + rib_3_mid_left,-519.2,1235.788366325714,1747.2098188049824,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_left_rib_1,bolt,angle_rib_3_mid_left + rib_3_mid_left,-546.25,1191.5580173853762,1854.815481911605,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_left_rib_2,bolt,angle_rib_3_mid_left + rib_3_mid_left,-546.25,1218.3695728945404,1832.317915572576,1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_left_beam_1,bolt,rear_cross_3 + angle_rib_3_mid_left,-576.25,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
