member,cut_from,depth_x_mm,cut_inner_x_min_mm,cut_inner_x_max_mm,cut_bottom_z_mm,cut_top_z_mm,remaining_leg_thickness_mm,retained_x_min_mm,retained_x_max_mm,runner_top_z_mm,shoulder_gap_mm,transverse_clearance_mm,operation,assessment_status
lumber_leg_left,inner face,38.1,-1257.3,-1219.2,0.0,141.7,50.800000000000004,-1308.1000000000001,-1257.3,139.7,2.0,0.0,Open-bottom inner-face recess; retain full opposite-face leg section.,Development · listed checks incomplete or failed · Outboard 2×6 floor rails · recessed leg ends · no raised knees · per-cell Coulomb μ=0.4 assumed
lumber_leg_right,inner face,38.1,1219.2,1257.3,0.0,141.7,50.800000000000004,1257.3,1308.1000000000001,139.7,2.0,0.0,Open-bottom inner-face recess; retain full opposite-face leg section.,Development · listed checks incomplete or failed · Outboard 2×6 floor rails · recessed leg ends · no raised knees · per-cell Coulomb μ=0.4 assumed
