connection,panel,receiver,provenance,purpose,direction_xyz,x_mm,panel_s_or_z_mm,grain_station_mm,receiver_low_end_distance_mm,receiver_high_end_distance_mm,receiver_face_edge_distance_mm,nearest_panel_edge_mm,gross_penetration_mm,nominal_embedded_thread_mm,future_insert_reserve_passed_historical,maximum_withdrawal_n,withdrawal_case,maximum_lateral_n,lateral_case,proven_removable,candidate_300_action,candidate_remove_all_infill_action,nearest_same_panel_receiver_spacing_mm,nearest_all_panel_same_receiver_spacing_mm
horizontal_panel_lower_left_1,main_lower_left,base_rail_service_lower_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-962.69,1050.1499999999999,-962.69,218.41000000000008,873.6400000000001,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,6.764970549841497,c10-k10000,256.58587054039174,c6-k1000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_lower_left_2,main_lower_left,base_rail_service_lower_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-744.28,1050.1499999999999,-744.28,436.82000000000016,655.23,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,879.9285905468629,c6-k1000,86.53101674024963,c6-k1000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_lower_left_3,main_lower_left,base_rail_service_lower_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-525.87,1050.1499999999999,-525.87,655.2300000000001,436.82000000000005,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,961.6467681997437,c6-k1000,55.13233421278366,c6-k1000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_lower_left_4,main_lower_left,base_rail_service_lower_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-307.4599999999999,1050.1499999999999,-307.4599999999999,873.6400000000002,218.40999999999997,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,6.60648383869485,f10-k1000,179.20923033502012,c6-k1000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_upper_left_1,main_upper_left,base_rail_service_upper_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-962.69,1238.2499999999998,-962.69,218.41000000000008,873.6400000000001,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,50.663911573477584,c10-k10000,207.93235443065365,c10-k10000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_upper_left_2,main_upper_left,base_rail_service_upper_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-744.28,1238.2499999999998,-744.28,436.82000000000016,655.23,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,512.2852000813502,c7-k1000,113.77696051697578,c10-k10000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_upper_left_3,main_upper_left,base_rail_service_upper_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-525.87,1238.2499999999998,-525.87,655.2300000000001,436.82000000000005,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,542.6897522064552,c7-k1000,41.8462359954369,c7-k1000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_upper_left_4,main_upper_left,base_rail_service_upper_left,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",-307.4599999999999,1238.2499999999998,-307.4599999999999,873.6400000000002,218.40999999999997,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,89.77174570588947,c10-k10000,156.43055089693243,c10-k10000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_lower_right_1,main_lower_right,base_rail_service_lower_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",307.46000000000004,1050.1499999999999,307.46000000000004,218.41000000000008,873.6400000000001,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,14.23296239074245,c10-k10000,77.88884154732081,c10-k10000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_lower_right_2,main_lower_right,base_rail_service_lower_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",525.8700000000001,1050.1499999999999,525.8700000000001,436.82000000000016,655.23,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,18.991131069475035,f10-k1000,33.63761088871283,c10-k10000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_lower_right_3,main_lower_right,base_rail_service_lower_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",744.2800000000001,1050.1499999999999,744.2800000000001,655.2300000000001,436.82000000000005,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,18.01547078078874,f10-k1000,39.549841416979156,c10-k10000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_lower_right_4,main_lower_right,base_rail_service_lower_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",962.6900000000002,1050.1499999999999,962.6900000000002,873.6400000000002,218.40999999999997,19.050000000000487,169.05000000000018,32.543749999999996,31.496,True,4.581457143350758,c10-k10000,76.33253752131928,c10-k10000,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_upper_right_1,main_upper_right,base_rail_service_upper_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",307.46000000000004,1238.2499999999998,307.46000000000004,218.41000000000008,873.6400000000001,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,0.25406240027861693,c10-k10000,39.612141818658536,c10-k100,False,keep,keep,218.41000000000008,218.41000000000008
horizontal_panel_upper_right_2,main_upper_right,base_rail_service_upper_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",525.8700000000001,1238.2499999999998,525.8700000000001,436.82000000000016,655.23,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,16.72623366679201,f10-k1000,19.266328123585193,c10-k10000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_upper_right_3,main_upper_right,base_rail_service_upper_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",744.2800000000001,1238.2499999999998,744.2800000000001,655.2300000000001,436.82000000000005,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,16.111487590640685,f10-k1000,27.772862714774654,c10-k10000,False,keep,keep,218.40999999999997,218.40999999999997
horizontal_panel_upper_right_4,main_upper_right,base_rail_service_upper_right,original,Horizontal service/seam rail attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",962.6900000000002,1238.2499999999998,962.6900000000002,873.6400000000002,218.40999999999997,19.050000000000566,19.049999999999727,32.543749999999996,31.496,True,5.722973184927862,c10-k10000,50.126298131159004,c10-k100,False,keep,keep,218.41000000000008,218.41000000000008
