pair_index,set_pair,pair_id,category,master_owner,slave_owner,quantity,report_index,time_seconds,field_rows_complete,force_xyz_n,moment_global_origin_nmm,centroid_xyz_mm,mean_normal_xyz,moment_at_centroid_nmm,area_mm2,normal_force_signed_n,shear_force_magnitude_n,fields_present
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,CFN,11,0.001,True,"[2.016365e-18,-0.0001059173,-0.0001262273]","[0.04331594,0.01697494,-0.01424367]","[134.3992,85.51227,511.1843]","[-8.712387e-15,0.6427876,0.7660444]","[-3.33414e-05,1.009093e-05,-8.467296e-06]",19.73607,-0.0001647781,1.534569e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
4,WJCP_004,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_head,head_washer_to_head,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,M01_A00_HEAD_WASHER,CFS,12,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[134.3992,85.51227,511.1843]","[-8.712387e-15,0.6427876,0.7660444]","[0.0,0.0,0.0]",19.73607,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
5,WJCP_005,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M01_A00_HEAD_WASHER,CF,13,0.001,True,"[-1.54321e-17,0.0001065706,0.0001270059]","[-0.04358357,-0.01707977,0.01433163]","[135.0585,84.65476,509.2513]","[-3.844216e-13,-0.6427876,-0.7660444]","[-6.399906e-05,7.346301e-05,-6.164279e-05]",61.14167,-0.0001657945,9.060291e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
5,WJCP_005,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M01_A00_HEAD_WASHER,CFN,14,0.001,True,"[-1.54321e-17,0.0001065706,0.0001270059]","[-0.04358357,-0.01707977,0.01433163]","[135.0585,84.65476,509.2513]","[-3.844216e-13,-0.6427876,-0.7660444]","[-6.399906e-05,7.346301e-05,-6.164279e-05]",61.14167,-0.0001657945,9.060291e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
5,WJCP_005,bottom_center/clip_horizontal_bottom_right_1/rail_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M01_A00_HEAD_WASHER,CFS,15,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[135.0585,84.65476,509.2513]","[-3.844216e-13,-0.6427876,-0.7660444]","[0.0,0.0,0.0]",61.14167,-0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
6,WJCP_006,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_nut,nut_washer_to_nut,M03_A00_NUT,M02_A00_NUT_WASHER,CF,16,0.001,True,"[-2.710199e-18,9.888899e-05,0.0001178513]","[-0.04020957,-0.01598721,0.01341486]","[136.0867,2.065155,410.1129]","[8.513376e-15,-0.6427876,-0.7660444]","[0.000102694,5.078714e-05,-4.261547e-05]",13.09333,-0.000153844,9.965618e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
6,WJCP_006,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_nut,nut_washer_to_nut,M03_A00_NUT,M02_A00_NUT_WASHER,CFN,17,0.001,True,"[-2.710199e-18,9.888899e-05,0.0001178513]","[-0.04020957,-0.01598721,0.01341486]","[136.0867,2.065155,410.1129]","[8.513376e-15,-0.6427876,-0.7660444]","[0.000102694,5.078714e-05,-4.261547e-05]",13.09333,-0.000153844,9.965618e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
6,WJCP_006,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_nut,nut_washer_to_nut,M03_A00_NUT,M02_A00_NUT_WASHER,CFS,18,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[136.0867,2.065155,410.1129]","[8.513376e-15,-0.6427876,-0.7660444]","[0.0,0.0,0.0]",13.09333,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
7,WJCP_007,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M02_A00_NUT_WASHER,CF,19,0.001,True,"[-6.583577e-17,-9.828088e-05,-0.0001171266]","[0.03996012,0.01589004,-0.01333332]","[135.0715,2.497181,412.4029]","[-7.060575e-13,0.6427876,0.7660444]","[-0.0002787224,6.957348e-05,-5.837908e-05]",38.56834,-0.0001528979,1.96246e-16,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
7,WJCP_007,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M02_A00_NUT_WASHER,CFN,20,0.001,True,"[-6.583577e-17,-9.828088e-05,-0.0001171266]","[0.03996012,0.01589004,-0.01333332]","[135.0715,2.497181,412.4029]","[-7.060575e-13,0.6427876,0.7660444]","[-0.0002787224,6.957348e-05,-5.837908e-05]",38.56834,-0.0001528979,1.96246e-16,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
